name,part.number,part.kind,part.description,location.name,location.image.name
1AB,664-21-010-11,Seat,,1AB,TOE-TOG_C.png
2AB,664-21-010-11,Seat,,2AB,TOE-TOG_C.png
3AB,664-21-010-11,Seat,,3AB,TOE-TOG_C.png
4AB,664-21-020-11,Seat,,4AB,TOE-TOG_C.png
1EF,664-20-010-11,Seat,,1EF,TOE-TOG_C.png
2EF,664-20-010-11,Seat,,2EF,TOE-TOG_C.png
3EF,664-20-010-11,Seat,,3EF,TOE-TOG_C.png
4EF,664-20-020-11,Seat,,4EF,TOE-TOG_C.png
1HJ,664-22-010-11,Seat,,1HJ,TOE-TOG_C.png
2HJ,664-22-010-11,Seat,,2HJ,TOE-TOG_C.png
3HJ,664-22-010-11,Seat,,3HJ,TOE-TOG_C.png
4HJ,664-22-020-11,Seat,,4HJ,TOE-TOG_C.png
L11,F2549000505400,Lavatory,,L11,TOE-TOG_C.png
L37,F2549019102000,Lavatory,,L37,TOE-TOG_C.png
L38,F2549014114000,Lavatory,,L38,TOE-TOG_C.png
B/CCarpet,TOE-TOP_C_CARPET,Carpet,,19,TOE-TOP_C_side_dado_carpet.png
DP,TOE-TOP_C_DADO,Panel,,18,TOE-TOP_C_side_dado_carpet.png
SP,TOE-TOP_C_SIDE,Panel,,17,TOE-TOP_C_side_dado_carpet.png
LABEL,Generic,Label,,,
