name,part.number,part.kind,part.description,location.name,location.image.name
1AB,16CE1T1001XH,Seat,,1AB,TOA-TOD_C.png
2AB,16CE1T1001XH,Seat,,2AB,TOA-TOD_C.png
3AB,16CE1T1001XH,Seat,,3AB,TOA-TOD_C.png
4AB,16CE1T1001XH,Seat,,4AB,TOA-TOD_C.png
5AB,16CE1T1001XH,Seat,,5AB,TOA-TOD_C.png
6AB,16CE3T1001XH,Seat,,6AB,TOA-TOD_C.png
1EF,16AE1T1110XH,Seat,,1EF,TOA-TOD_C.png
2EF,16AE1T1110XH,Seat,,2EF,TOA-TOD_C.png
3EF,16AE1T1110XH,Seat,,3EF,TOA-TOD_C.png
4EF,16AE1T1110XH,Seat,,4EF,TOA-TOD_C.png
5EF,16AE1T1110XH,Seat,,5EF,TOA-TOD_C.png
6EF,16AE3T1110XH,Seat,,6EF,TOA-TOD_C.png
1HJ,16CE1T1002XH,Seat,,1HJ,TOA-TOD_C.png
2HJ,16CE1T1002XH,Seat,,2HJ,TOA-TOD_C.png
3HJ,16CE1T1002XH,Seat,,3HJ,TOA-TOD_C.png
4HJ,16CE1T1002XH,Seat,,4HJ,TOA-TOD_C.png
5HJ,16CE1T1002XH,Seat,,5HJ,TOA-TOD_C.png
6HJ,16BE3T1002XH,Seat,,6HJ,TOA-TOD_C.png
L11,F2549000601200,Lavatory,,L11,TOA-TOD_C.png
L35,F2549018807600,Lavatory,,L35,TOA-TOD_C.png
L37,F2549013807000,Lavatory,,L37,TOA-TOD_C.png
B/CCarpet,Generic,Carpet,,,
DP,Generic,Panel,,,
SP,Generic,Sidewall,,,
LABEL,Generic,Label,,,
