name,part.number,part.kind,part.description,location.name,location.image.name
1AB,664-21-010-11,Seat,,1AB,TOH-TOK_C.png
2AB,664-21-010-11,Seat,,2AB,TOH-TOK_C.png
3AB,664-21-010-11,Seat,,3AB,TOH-TOK_C.png
4AB,664-21-020-11,Seat,,4AB,TOH-TOK_C.png
1EF,664-20-010-11,Seat,,1EF,TOH-TOK_C.png
2EF,664-20-010-11,Seat,,2EF,TOH-TOK_C.png
3EF,664-20-010-11,Seat,,3EF,TOH-TOK_C.png
4EF,664-20-020-11,Seat,,4EF,TOH-TOK_C.png
1HJ,664-22-010-11,Seat,,1HJ,TOH-TOK_C.png
2HJ,664-22-010-11,Seat,,2HJ,TOH-TOK_C.png
3HJ,664-22-010-11,Seat,,3HJ,TOH-TOK_C.png
4HJ,664-22-020-11,Seat,,4HJ,TOH-TOK_C.png
L37,F2549019000000,Lavatory,,L37,TOH-TOK_C.png
L38,F2549013913200,Lavatory,,L38,TOH-TOK_C.png
B/CCarpet,Generic,Carpet,,,
DP,Generic,Panel,,,
SP,Generic,Sidewall,,,
LABEL,Generic,Label,,,
