name,part.number,part.kind,part.description
28AB,781-21-21,Seat,
29AB,781-21-01,Seat,
30AB,781-21-01,Seat,
31AB,781-21-01,Seat,
32AB,781-21-01,Seat,
33AB,781-21-03,Seat,
34AB,781-21-03,Seat,
35AB,781-21-05,Seat,
36AB,781-21-05,Seat,
37AB,781-21-07,Seat,
38AB,781-21-06,Seat,
39AB,781-21-02,Seat,
40AB,781-21-02,Seat,
41AB,781-21-08,Seat,
27DE,781-21-51,Seat,
28DE,781-21-41,Seat,
29DE,781-21-41,Seat,
30DE,781-21-41,Seat,
31DE,781-21-41,Seat,
32DE,781-21-41,Seat,
33DE,781-21-41,Seat,
34DE,781-21-41,Seat,
35DEEF,781-40-01,Seat,
36DEEF,781-40-02,Seat,
37DEEF,781-40-04,Seat,
38EFG,781-30-22,Seat,
39EFG,781-30-01,Seat,
40EFG,781-30-01,Seat,
41EFG,781-30-02,Seat,
42EFG,781-30-05,Seat,
27FG,781-22-51,Seat,
28FG,781-22-41,Seat,
29FG,781-22-41,Seat,
30FG,781-22-41,Seat,
31FG,781-22-41,Seat,
32FG,781-22-41,Seat,
33FG,781-22-41,Seat,
34FG,781-22-41,Seat,
28HJ,781-22-21,Seat,
29HJ,781-22-11,Seat,
30HJ,781-22-11,Seat,
31HJ,781-22-01,Seat,
32HJ,781-22-01,Seat,
33HJ,781-22-03,Seat,
34HJ,781-22-03,Seat,
35HJ,781-22-05,Seat,
36HJ,781-22-05,Seat,
37HJ,781-22-07,Seat,
38HJ,781-22-06,Seat,
39HJ,781-22-02,Seat,
40HJ,781-22-02,Seat,
41HJ,781-22-08,Seat,
L53,F2549014114200,Lavatory,
L54,F2549019102200,Lavatory,
Y2/CCarpet,Generic,Carpet,
DP,Generic,Panel,
SP,Generic,Sidewall,
LABEL,Generic,Label,
